S.No.,Product Name,Pack Type,MRP (Rs.),Pack Size,Image Path
258,Flupress-20,Capsules,64.41,10x2x15,"Ultima\Flupress-20 10x2x15caps Capsules.webp"""
259,Gabavent-300,Capsules,132.72,10x10,"Ultima\Gabavent-300 10x10 Capsules.webp"""
260,Gastovent-DSR,Capsules,114.57,20x10,"Ultima\Gastovent-Dsr 20x10 Capsules.webp"""
261,Gastovent-LSR,Capsules,204.18,10x1x10,"Ultima\Gastovent-Lsr 10x1x10 Capsules.webp"""
262,Indovent-25,Capsules,53.31,20x10,"Ultima\Indovent-25 20x10 Capsules.webp"""
263,Indovent-SR,Capsules,124.78,20x10,"Ultima\Indovent-Sr 20x10 Capsules.webp"""
264,Itromax SB 130,Capsules,294.91,10x1x10,"Ultima\Itromax-SB-130mg 10x1x10 Capsules.webp"""
265,Itromax SB 65,Capsules,147.29,10x1x10,"Ultima\Itromax-SB-65mg 10x1x10 Capsules.webp"""
266,Itromax-100,Capsules,179.23,10X1X10,"Ultima\Itromax-100 10x1x10 Capsules.webp"""
267,Itromax-200,Capsules,237.82,10X1X10,"Ultima\Itromax-200 10x1x10 Capsules.webp"""
268,Kneeguard Plus,Softgel,338.13,10X1X10,"Ultima\Kneeguard plus 10x1x10 Softgel Capsules.webp"""
269,Lipivent-Gold 10,Capsules,155.90,10x15,"Ultima\Lipivent-Gold 10 10x15 Capsules.webp"""
270,Lipivent-Gold 20,Capsules,164.48,10x15,"Ultima\Lipivent-Gold 20 10x15 Capsules.webp"""
271,Livominta-SL,Softgel,190.00,10x1x10,"Ultima\LIVOMINTA-SL 10x1x10 Softgel Capsules.webp"""
272,Lycoride,Softgel,142.12,10x1x10,"Ultima\Lycoride 225ml Syrup.webp"""
273,Moxilanta 250,Capsules,26.25,10x3x10,"Ultima\Moxilanta-250 10x3x10  Capsules.webp"""
274,Moxilanta 500,Capsules,79.17,10x2x10,"Ultima\Moxilanta-500 10x3x10  Capsules.webp"""
275,Mylabion,Capsules,174.69,10x1x10,"Ultima\Mylabion 10x1x10 Capsules.webp"""
276,Mylabion-Plus,Capsules,224.60,5x1x10,"Ultima\Mylabion-Plus 5x1x10 Capsules.webp"""
277,Omefiz,Capsules,46.30,20x15,"Ultima\Omefiz 20x15 Capsules.webp"""
278,Omefiz-D,Capsules,99.82,20x15,"Ultima\Omefiz-D 20x15 Capsules.webp"""
279,Pantovent-LSR,Capsules,230.20,10x1x10,"Ultima\Pantovent-Lsr 10x1x10 Capsules.webp"""
280,Pantovent-DSR,Capsules,141.79,20x10,"Ultima\Pantovent-Dsr 20x10 Capsules.webp"""
281,Phylobron,Capsules,96.42,10x10,"Ultima\Phylobron 10x10 Capsules.webp"""
282,Pregavent-D 75/20,Capsules,210.00,10x10,"Ultima\Pregavent-D 75-20 10x10 Capsules.webp"""
283,Pregavent-75,Capsules,107.75,10x10,"Ultima\Pregavent 75mg 10x10 Capsules.webp"""
284,Pregavent-M,Capsules,174.60,10x1x10,"Ultima\Pregavent-M 10x1x10 Capsules.webp"""
,Rejuvital,Softgel,101.60,20x1x10,"Ultima\Rejuvital 20x1x10 Softgel Capsules.webp"""
285,Rejuvital Musli-Gold,Capsules,275.00,10x1x10,"Ultima\Rejuvital Gold Capsules 10x1x10.webp"""
286,Rozucard-Gold 10,Capsules,199.60,10x1x10,"Ultima\Rozucard-Gold 10x1x10 Capsules.webp"""
287,Rozucard-Gold 20,Capsules,277.90,10x1x10,"Ultima\Rozucard-Gold-20 10x1x10 Capsules.webp"""
288,Sildostat-8,Capsules,255.23,10X1X10,"Ultima\Sildostat-8 10x1x10 Capsules.webp"""
289,Sildostat-D8,Capsules,489.84,10X1X10,"Ultima\Sildostat-D8 10x1x10 Capsules.webp"""
290,Sinovent-DM,Softgel,58.96,20X1X10,"Ultima\Sinovent-Dm 20x1x10 Softgel Capsules.webp"""
291,Sinovent-Vapor,Capsules,70.12,20x10,"Ultima\Sinovent Vapor 20x10 Capsules.webp"""
292,Sofegest 200,Softgel,510.00,10x1x10,"Ultima\Sofegest 200 10x1x10 Softgel Capsules.webp"""
293,Uriride 0.4,Capsules,228.00,10X20,"Ultima\Uriride-0-4mg 10x20 Capsules.webp"""
294,Uriride-D,Capsules,385.60,10x1x15,"Ultima\Uriride-D 10x1x15 Capsules.webp"""
295,Ventocal-D3,Softgel,132.38,10x1x4,"Ultima\Ventocal D3 Nano 5ml.webp"""
296,Zincominta-Rich,Softgel,124.35,10x1x10,"Ultima\Zincominta Rich 10x1x10 Capsules.webp"""
297,Apilactin Plus,Syrup,131.58,200 ml,"Ultima\Apilactin Plus 200ml Syrup.webp"""
298,Aptiride,Syrup,149.53,200 ml,"Ultima\Aptiride 200ml Syrup.webp"""
300,Becominta Z,Syrup,149.49,200 ml,"Ultima\Becominta Z 200ml Syrup.webp"""
301,Bilotra DM,Syrup,144.37,100ml,"Ultima\Bilotra Dm 100ml Syrup.webp"""
302,Bilotra-M,Suspension,193.60,60 ml,"Ultima\Bilotra-M 60ml Syrup.webp"""
303,Carivent,Syrup,226.87,200 ml,"Ultima\Carivent 200ml Syrup.webp"""
304,Citrastone,Syrup,123.50,100 ml,"Ultima\Citrastone 100ml Syrup.webp"""
306,Colivent,Syrup,87.33,60 ml,"Ultima\Colivent 60ml Syrup.webp"""
307,Corivent-EX,Syrup,112.50,61 ml,"Ultima\Corivent-Ex 100ml Syrup.webp"""
308,Dilustone 1B6,Solution,237.08,62 ml,"Ultima\Dilustone Syrup 200ml.webp"""
309,Donacortil-6,Suspension,73.52,63 ml,"Ultima\Donacortil-6 10x1x10 Tablets.webp"""
310,Feriminta Plus,Syrup,205.83,64 ml,"Ultima\Feriminta-PLUS 225ml Syrup.webp"""
311,Feriminta Plus,Syrup,349.38,65 ml,"Ultima\Feriminta-PLUS 450ml Syrup.webp"""
312,Ferivent-XT,Syrup,174.69,66 ml,"Ultima\Ferivent-Xt 10x1x10 Tablets.webp"""
313,Gasfiz Mint Flavour,Suspension,122.50,67 ml,"Ultima\Gasfiz Suspension  170ml.webp"""
314,Gasfiz Paan Flavour,Suspension,122.50,68 ml,"Ultima\Gasfiz Suspension Paan 170ml.webp"""
315,Gasfiz Raft,Suspension,182.80,69 ml,"Ultima\Gasfiz- RAFT 150 New.webp"""
316,Histarex,Syrup,136.00,70 ml,"Ultima\Histarex 100ml Syrup.webp"""
317,Honiryl,Syrup,98.43,71 ml,"Ultima\Honiryl 100ml Syrup.webp"""
318,Ibuvent-Plus,Suspension,124.75,72 ml,"Ultima\Ibuvent-Plus 100ml Syrup.webp"""
319,Ibuvent-Plus,Suspension,82.35,73 ml,"Ultima\Ibuvent-Plus 60ml Syrup.webp"""
320,Laxivent,Emulsion,159.71,74 ml,"Ultima\Laxivent Oral Emulsion 170ml.webp"""
321,Laxivent-Plus,Emulsion,185.90,75 ml,"Ultima\Laxivent-Plus 170ml Syrup.webp"""
322,Levotramine,Syrup,48.65,76 ml,"Ultima\Levotramine-Syrup 30ml.webp"""
323,Livominta-Forte,Syrup,232.95,77 ml,"Ultima\Livominta-Forte 200ml Syrup.webp"""
324,Lycoride,Syrup,262.00,78 ml,"Ultima\Lycoride 10x1x10 Softgel Capsules.webp"""
325,Meftadol-P Forte,Syrup,106.00,79 ml,"Ultima\Meftadol-P Forte 60ml Suspension.webp"""
326,Meftadol-P,Syrup,65.86,80 ml,"Ultima\Meftadol-P 60ml Syrup.webp"""
327,Menstarol,Syrup,165.00,81 ml,"Ultima\Menstarol 200ml Syrup.webp"""
328,Mylabion,Syrup,170.00,82 ml,"Ultima\Mylabion Syrup 200 ml.webp"""
329,Oftivent,Syrup,85.00,83 ml,"Ultima\Oftivent 60ml Syrup.webp"""
330,Oftivent-M,Syrup,65.87,84 ml,"Ultima\Oftivent-M 30ml Syrup.webp"""
331,Phylobron-XT,Syrup,141.75,85 ml,"Ultima\Phylobron-Xt 100ml Syrup.webp"""
332,Picovent-Laxative,Syrup,99.80,86 ml,"Ultima\Picovent Syrup 100ml.webp"""
333,Ranilium-Spas,Syrup,77.36,87 ml,"Ultima\Ranilium Spas Syrup 30ml.webp"""
334,Ranilium-MPS,Suspension,136.12,88 ml,"Ultima\Ranilium-Mps 170ml Syrup.webp"""
335,Ranilium-PD,Syrup,167.60,89 ml,"Ultima\Ranilium-Pd 100ml Syrup.webp"""
336,Sinovent-DM,Syrup,112.25,90 ml,"Ultima\Sinovent-Dm 100ml Syrup.webp"""
337,Sinovent-DM,Syrup,74.85,91 ml,"Ultima\Sinovent-Dm 60ml Syrup.webp"""
338,Sinovent-DS,Suspension,81.00,92 ml,"Ultima\Sinovent-DS 60ML Syrup.webp"""
339,Sinovent,Suspension,74.00,93 ml,"Ultima\Sinovent Syrup 60ml.webp"""
340,Spasmovent,Suspension,89.00,94 ml,"Ultima\Spasmovent 60ml Syrup.webp"""
341,Trizacet Cold DS RF,Suspension,73.68,95 ml,"Ultima\Trizacet 60ml Syrup.webp"""
342,Trizacet Cold RF,Suspension,61.21,60ml,"Ultima\Trizacet Cold DS Suspension.webp"""
343,Trizacet,Syrup,42.21,60 ml,"Ultima\Trizacet Syrup 60ml.webp"""
344,Tusston Super,Syrup,123.50,100 ml,"Ultima\Tusston-Super 100 ml Syrup.webp"""
345,Tusston Super,Syrup,81.65,60 ml,"Ultima\Tusston-Super 60 ml Syrup.webp"""
346,Udivent,Suspension,320.00,100ml,"Ultima\Udivent Suspension 100ml.webp"""
348,Ventocal,Suspension,126.20,200 ml,"Ultima\Ventocal Syrup 200ml.webp"""
349,Ventokast LC,Syrup,112.50,60ml,"Ultima\Ventokast-LC Syrup 60ml.webp"""
350,Ventokast LC,Syrup,84.84,30 ml,"Ultima\Ventokast-LC Syrup 30ml.webp"""
351,Ventotus- L,Syrup,118.50,100 ml,"Ultima\Ventotus-L 100ml Syrup.webp"""
352,Ventoxol,Syrup,119.00,100 ml,"Ultima\Ventoxol 100ml Syrup.webp"""
353,Ventoxol,Syrup,79.40,60 ml,"Ultima\Ventoxol Syrup 60ml.webp"""
,Ventocain Gel,Syrup,143.43,170 ml,"Ultima\Ventocain Liquid Gel 170ml.webp"""
354,Ventoxol- L,Syrup,108.48,100 ml,"Ultima\Ventoxol L Syrup 100ml.webp"""
355,Ventoxol- L,Syrup,72.36,60 ml,"Ultima\Ventoxol Syrup-L 60ml.webp"""
356,Ventoxol- LS Junior,Syrup,102.30,100 ml,"Ultima\Ventoxol-LS Junior Syrup 100ml.webp"""
357,Ventoxol- LS Junior,Syrup,72.70,60ml,"Ultima\Ventoxol-LS Junior Syrup 60ml.webp"""
,Bactofix-100 ,Dry Syrup,77.17,30 ml,"Ultima\Bactofix-100 30ml Dry Syrup.webp"""
,Bactofix-50 ,Dry Syrup,52.60,30 ml,"Ultima\Bactofix-50 30ml Dry Syrup.webp"""
,Bactofix-O,Dry Syrup,96.42,30 ml,"Ultima\Bactofix-o 30ml Dry Syrup.webp"""
,Becominta-L,Dry Syrup,77.34,60ml,"Ultima\Becominta-L 60ml Dry Syrup.webp"""
,Clarivent-125 Oral,Suspension,149.94,30ml,"Ultima\Clarivent-125 Oral 30ml Syrup.webp"""
,Proditil CV 100/62.5,Dry Syrup,183.50,30 ml,"Ultima\Proditil CV 100+62.5 10x1x10 Dry Syrup.webp"""
,Proditil-CV,Dry Syrup,155.90,30 ml,"Ultima\Proditil-CV Dry Syrup 30ml.webp"""
,Proditil-50,Dry Syrup,119.40,30 ml,"Ultima\Proditil-50 30ml Dry Syrup.webp"""
,Proditil-100 ,Dry Syrup,180.92,30 ml,"Ultima\Proditil-100 30ml Dry Syrup.webp"""
,Ultavir,Suspension,243.75,30 ml,"Ultima\Ultavir 30ml Syrup.webp"""
,Venzolid Dry ,Dry Syrup,132.10,30 ml,"Ultima\VenZolid Dry Syrup 100mg.webp"""
,Xiotil ,Dry Syrup,171.36,30 ml,"Ultima\Xiotil-125mg Dry Syrup.webp"""
,Zithroset-100 XL,Dry Syrup,97.95,30 ml,"Ultima\Zithroset XL Dry Syrup 100mg.webp"""
,Zithroset-200 XL,Dry Syrup,109.93,30 ml,"Ultima\Zithroset XL Dry Syrup 200mg.webp"""
,Bactofix,Drop,80.48,10 ml,"Ultima\Bactofix 10ml Drop.webp"""
,Colivent,Drop,74.85,30 ml,"Ultima\Colivent 30ml Drop.webp"""
,Ondilium,Drop,40.63,30 ml,"Ultima\Ondilium 30ml Drop.webp"""
,Proditil,Drop,89.00,10 ml,"Ultima\Proditil Drops 10ml.webp"""
,Ventoxol-LS,Drop,64.80,15 ml,"Ultima\Ventoxol-LS 15ml Drops.webp"""
358,Zincominta,Syrup,153.94,200 ml,"Ultima\Zincominta Syrup 200ml.webp"""
359,Acipox,Cream,165.00,15gm,"Ultima\Acipox 15gm Cream.webp"""
360,Acnevent Plus,Ointement,88.48,15gm,"Ultima\Acnevent Plus 15gm Cream.webp"""
361,Adigard,Cream,118.53,15gm,"Ultima\Adigard 25gm Cream.webp"""
362,Betavent-N,Ointement,62.90,15gm,"Ultima\Betavent-N 15gm Cream.webp"""
363,Candivent-B,Cream,84.56,15gm,"Ultima\Candivent-B 15gm Cream.webp"""
364,Candivent-VG,Ointement,149.50,15gm,"Ultima\Candivent-Vg 30gm Cream.webp"""
365,Capilate-P,Cream,170.15,15gm,"Ultima\Capilate-P 30gm Cream.webp"""
366,Clarilite,Cream,158.81,15gm,"Ultima\Clarilite Cream 15gm Cream.webp"""
367,Clobevent,Cream,85.80,15gm,"Ultima\Clobevent 15gm Cream.webp"""
368,Clobevent-GM,Ointement,81.09,15gm,"Ultima\Clobevent-Gm 15gm Cream.webp"""
369,Clobevent-S,Ointement,137.25,15gm,"Ultima\Clobevent-S 20gm Cream.webp"""
370,Dermovent-5,Cream,106.00,15gm,"Ultima\Dermovent-5 15gm Cream.webp"""
371,Gabavent,Ointement,260.00,15gm,"Ultima\Gabavent 30gm Cream.webp"""
372,Healodine,Ointement,99.22,15gm,"Ultima\Healodine 15g Ointment.webp"""
373,Healodine-OZ,Ointement,87.79,15gm,"Ultima\Healodine-Oz 15gm Cream.webp"""
374,Itromax OC,Ointement,129.76,15gm,"Ultima\Itromax-OC 15gm Cream.webp"""
,Lulinaz-10,Ointement,243.31,15gm,"Ultima\Lulinaz 10gm Cream.webp"""
375,Lulinaz-20,Ointement,294.93,15gm,"Ultima\Lulinaz 20gm Cream.webp"""
376,Lulinaz-30,Ointement,408.37,15gm,"Ultima\Lulinaz 30gm Cream.webp"""
377,Lulinaz 4D,Ointement,165.00,15gm,"Ultima\Lulinaz- 4D 20gm Cream.webp"""
,Mupivent,Ointement,325.00,15gm,"Ultima\Mupivent 15gm Cream.webp"""
379,Mupivent,Ointement,109.00,15gm,"Ultima\Mupivent 5gm Cream.webp"""
380,Nodigyl DG,Ointement,127.80,15gm,"Ultima\Nodigyl Dg 20g Cream.webp"""
381,Oftiderm-RF,Ointement,88.48,15gm,"Ultima\Oftiderm-Rf 15gm Cream.webp"""
382,Oravent,Ointement,73.73,15gm,"Ultima\Oravent 20x10 Tablets.webp"""
383,Oravent Plus,Ointement,96.42,15gm,"Ultima\Oravent-Plus 5gm Cream.webp"""
385,Skin Bloom,Cream,170.70,15gm,"Ultima\Skinbloom 24x1x15gm Cream.webp"""
386,Soravent 6,Ointement,134.00,15gm,"Ultima\SORAVENT-6 12x30g Ointment.webp"""
387,Terbiride,Cream,84.72,15gm,"Ultima\Terbiride Cream 15g.webp"""
389,Ventoran 2X,Ointement,175.82,15gm,"Ultima\Ventoran 2X pain gel 30gm.webp"""
391,Ventoran Pain Gel,Ointement,40.78,15gm,"Ultima\Ventoran 25x1x10g Pain-Gel.webp"""
392,Ventoran Pain Gel,Ointement,124.78,15gm,"Ultima\Ventoran Pain-Gel 30g.webp"""
393,Calavent,Lotion,204.57,15gm,"Ultima\Calavent 100ml Lotion.webp"""
394,Candivent B,Lotion,106.05,15gm,"Ultima\Candivent B 30ml Lotion.webp"""
395,Clobevent GM,Lotion,97.30,15gm,"Ultima\Clobevent-GM Lotion 25ml.webp"""
396,Lulinaz,Lotion,237.00,15gm,"Ultima\Lulinaz 30ml Lotion.webp"""
397,Ventoscab,Lotion,116.53,15gm,"Ultima\Ventoscab 100ml Lotion.webp"""
398,Buderon,Respules,127.95,15gm,"Ultima\Buderon 4x5x2ml Suspension.webp"""
399,Buderon 1mg,Respules,141.30,15gm,"Ultima\Buderon 1Mg 2ml Respules.webp"""
400,Duosma-3,Respules,117.15,15gm,"Ultima\Duosma-3 10x5x3ml Respules.webp"""
401,Duosma-LD,Respules,91.40,15gm,"Ultima\Duosma-Ld 10x5x2.5ml Respules.webp"""
402,Enterobioz,Respules,47.40,15gm,"Ultima\Enterobioz 5ml Respules.webp"""
403,Glycolium,Respules,245.00,15gm,"Ultima\Glycolium 10x5x2ml Respules.webp"""
404,Levobuta 0.63,Respules,84.35,15gm,"Ultima\Levobuta 0.63 10x5x2.5ml Respules.webp"""
405,Ayu Laxivent,Tablets,67.00,15gm,"Ultima\Ayu Laxivent 10x10 Tablets.webp"""
406,Candivent Dusting,Powder,118.53,15gm,"Ultima\Candivent Powder 75g.webp"""
407,Coligut-L,L Sachet,24.37,15gm,"Ultima\Coligut L 50x1g Sachet.webp"""
408,Flutigra AZ,Nasal Spray,479.61,15gm,"Ultima\Flutigra-AZ nasal spary 7ml.webp"""
409,Flutigra,Nasal Spray,474.72,15gm,"Ultima\Flutigra 120m Spray.webp"""
410,Healodine 10%,Solution,107.50,15gm,"Ultima\Healodine Solution 100ml 10%.webp"""
411,Healodine,Solution,198.50,15gm,"Ultima\Healodine 100ml Gargles.webp"""
412,Healodine,Powder,73.12,15gm,"Ultima\Healodine Powder 10g.webp"""
413,Insta Play (Ultra Thin),Condom,34.71,15gm,"Ultima\Insta Play Condom Chocolate Ultra Thin 3N.webp"""
414,Insta Play (Extra Time),Condom,34.71,15gm,"Ultima\Insta Play Strawberry Extra Time Condom 3N.webp"""
415,Insta Play (Extra Super Dotted),Condom,33.00,15gm,"Ultima\Insta Play 48x1x3n Condom.webp"""
416,Insta Play (Extra Super Dotted),Condom,33.00,15gm,"Ultima\Insta Play Condom Strawberry Extra Dotted.webp"""
417,Ketojet CT,Soap,129.00,15gm,"Ultima\Ketojet-CT 75g Soap.webp"""
418,Ketojet,Shampoo,204.18,15gm,"Ultima\Ketojet Shampoo 110ml.webp"""
419,Kneeguard,Sachet,130.00,15gm,"Ultima\Kneeguard Sachet 10x5g.webp"""
420,Laxivent,Powder,170.15,15gm,"Ultima\Laxivent 4x5x10 Tablets.webp"""
421,Protiminta (American Ice Cream),Powder,376.84,15gm,"Ultima\Protiminta Amarican Icecream.webp"""
422,Protiminta (Chocolate),Powder,376.84,15gm,"Ultima\Protiminta 200gm Powder.webp"""
423,Protiminta (Kesar-pista),Powder,376.84,15gm,"Ultima\Protiminta Kesar Pista.webp"""
424,Protiminta DHA,Powder,392.99,15gm,"Ultima\Protiminta Dha 200gm Powder.webp"""
425,Scabitick-Vet,Soap,150.70,15gm,"Ultima\Scabitick-Vet 75gm Soap.webp"""
426,Sensovent Mouthwash,Mouthwash,108.28,15gm,"Ultima\Sensovent 100ml Mouthwash.webp"""
427,Sensovent,Tooth Paste,129.00,15gm,"Ultima\Sensovent Toothpaste 80g.webp"""
428,Sensovent-F,Tooth Paste,129.20,15gm,"Ultima\Sensovent-F 80gm Toothpaste.webp"""
429,Sinovent,Nasal Spray,55.00,15gm,"Ultima\Sinovent spray 10ml.webp"""
430,Sinovent Saline,Nasal Spray,68.00,15gm,"Ultima\Sinovent-Saline Nasal Spray 20ml.webp"""
431,Tusston,Lozenges,37.50,15gm,"Ultima\Tusston Cough 35x10 Lozenges Plastic Box.webp"""
432,Ventocal-D3 Nano,Nano Shot,82.30,15gm,"Ultima\Ventocal D3 Nano 5ml.webp"""
433,Ventoran 2X,Pain Spray,268.00,15gm,"Ultima\Ventoran-2x Spray 75gm.webp"""
434,Ventoran 2X,Pain Spray,82.30,15gm,"Ultima\Ventoran-2x Spray 35gm.webp"""
435,Ventoran Pain,Pain Oil,134.00,15gm,"Ultima\Ventoran-Pain Oil 50ml.webp"""
436,Ventoscab P,Soap,107.66,15gm,"Ultima\Ventoscab-P Soap.webp"""
437,Viturna,Wash,187.00,15gm,"Ultima\Viturna 100ml V-Wash.webp"""
